Device_name	hostname	IP_admin	Device_reference	ORD__Node_status	ORD__Router_type___role	ORD__Customer_code	ORD__Customer_name	ORD__Main_Community___VPN	ORD__Origin	ORD__USID___Service_Usine	ORD__Orange_Site_Ref_	ORD__Customer_defined_code	ORD__Chassis_type	Center_code	ORD__Country_code	ORD__Country_name	ORD__POP_name	Chassis_type	CLI__CPU_reference	CFG__Router_description	Auto__Topo__Site_	Topo__Site_Ref_	Cascaded	Virt____Stack_	UCPE_name	model	ORD__POP_code	Site_Code_Iata	Peer_device	MCS_role	CPU	Memory	Storage
PAKL825	PAKL825	10.247.91.241	PAKL825	O/L	ICN_CPE_ROUTER	164	united airlines  inc.	unitednet	SITA	GO0EU10E42	CI00211673 ~ 164_NZL_AUCKLAND_003 ~ GM244 LEONARD ISITT DRIVE, AUCKLAND INTERNATIONAL AIRPORT, 2150, AUCKLAND, NEW ZEALAND	-	vedge-cloud-dna	-	NZ	NEW ZEALAND	AUCKLAND	vedge-cloud	-	 APH-S S0+ Primary vEdge PAKL825\n Customer UA United Airlines\n Profile GOLD + LBO	PAKL825.PAKL826	PAKL825.PAKL826		-	UCPEAKL0001	sdwan_center_vedge	AKL	AKL	PAKL826	primary	2	4096	10240
HAKL0002	HAKL0002	57.220.100.65																							UCPEAKL0002	hypervisor		AKL					
PAKL763	PAKL763	57.220.100.64	PAKL763	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	FI02175HE2	CI00205998 ~ 53849_NZL_AUCKLAND_00012 ~ INTERNATIONAL TERMINAL, AUCKLAND INTERNATIONAL AIRPORT, 2022, AUCKLAND, NEW ZEALAND	-	encs5412/k9	-	NZ	NEW ZEALAND	AUCKLAND	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET AUCKLAND PAKL763 Virtual Machine hosted by ENCS HAKL0002 Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PAKL320.PAKL321	PAKL320.PAKL321		-	UCPEAKL0002	router_center_isrv	AKL	AKL	PAKL762	backup			
PAKL780	PAKL780	10.247.39.64	PAKL780	MIG	ICN_CPE_ROUTER	85	cathay pacific airways	sita_sdwannet	SITA	GO0AGTSW5D	CI00176232 ~ 43027_NZL_AUCKLAND_008 ~ AUCKLAND INTERNATIONAL AIRPORT, AUCKLAND, NEW ZEALAND	AKL_AP1_SDN	vedge-cloud-dna	-	NZ	NEW ZEALAND	AUCKLAND	vedgecloud	-	APH-S S0+ Primary vEdge PAKL780\nCustomer CX Cathay Pacific\nProfile GOLD + LBO	PAKL779.PAKL780	PAKL779.PAKL780		-	UCPEAKL0002	sdwan_center_vedge	AKL	AKL	PAKL779	backup			
PAKL782	PAKL782	10.247.78.191	PAKL782	O/L	ICN_CPE_ROUTER	60	singapore airlines ltd.	sqnet	SITA	GO0AFU4X54	CI00175833 ~ 60_NZL_AUCKLAND_MIG_007 ~ GROUND FLOOR, AUCKLAND INTERNATIONAL AIRPORT, BEHIND CHECK-IN COUNTER 401, 53154, AUCKLAND, NEW ZEALAND	AKL_AP1_SDN	vedge-cloud-dna	-	NZ	NEW ZEALAND	AUCKLAND	vedge-cloud	-	 APH-S S0+ backup vEdge PAKL782\n Customer SQ Singapore Airlines\n Profile PLATINIUM + LBO ZSCALER + DBO	PAKL781.PAKL782	PAKL781.PAKL782		-	UCPEAKL0002	sdwan_center_vedge	AKL	AKL	PAKL781	backup			
PAKL802	PAKL802	10.247.94.186	PAKL802	O/L	ICN_CPE_ROUTER	166	china airlines ltd.	china_airnet	SITA	FI024WQQBB	CI00071887 ~ 166_NZL_AUCKLAND AIRPORT_00003 ~ FLOOR:ROOM GM60, 400 GEORGE BOLT MEMORIAL DRIVE, AUCKLAND AIRPORT, 2150, AUCKLAND, NEW ZEALAND	AKL-TT-SDN	vedge-cloud-dna	-	NZ	NEW ZEALAND	AUCKLAND	vedgecloud	-	 APH-S S0+ Secondary vEdge PAKL802\n Customer CI China airlines ltd.\n Profile GOLD + LBO	PAKL801.PAKL802	PAKL801.PAKL802		-	UCPEAKL0002	sdwan_center_vedge	AKL	AKL	PAKL801	backup			
PAKL826	PAKL826	10.247.91.242	PAKL826	O/L	ICN_CPE_ROUTER	164	united airlines  inc.	unitednet	SITA	GO0EU10F41	CI00211673 ~ 164_NZL_AUCKLAND_003 ~ GM244 LEONARD ISITT DRIVE, AUCKLAND INTERNATIONAL AIRPORT, 2150, AUCKLAND, NEW ZEALAND	-	vedge-cloud-dna	-	NZ	NEW ZEALAND	AUCKLAND	vedgecloud	-	 APH-S S0+ Primary vEdge PAKL826\n Customer UA United Airlines\n Profile GOLD + LBO	PAKL825.PAKL826	PAKL825.PAKL826		-	UCPEAKL0002	sdwan_center_vedge	AKL	AKL	PAKL825	backup			
HAKL0003	HAKL0003	57.220.100.111																							UCPEAKL0003	hypervisor		AKL					
PAKL814	PAKL814	57.220.105.104	PAKL814	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	FI026V5GAB	CI00100904 ~ 53849_NZL_AUCKLAND_00002 ~ ROOM 1F10, 1ST FLOOR, EAST WING, 2022, AUCKLAND, NEW ZEALAND	APH0- CAT1-AKL-PRI-IPVPN-	encs5412/k9	-	NZ	NEW ZEALAND	AUCKLAND	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET AUCKLAND PAKL814 Virtual Machine hosted by ENCS HAKL0003 Cluster with ENCS NFVIS_HOSTNAME Front-End Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PAKL320.PAKL321	PAKL320.PAKL321	PAKL762	-	UCPEAKL0003	router_center_isrv	AKL	AKL	-	backup			
PAKL836	PAKL836	10.247.51.40	PAKL836	O/L	ICN_CPE_ROUTER	387	emirates	emiratesnet_aph	SITA	FI028WJEAF	CI00215091 ~ 387_NZL_AUCKLAND_003 ~ AUCKLAND, AUCKLAND, NEW ZEALAND, AUCKLAND, ROOM GM53,MEZZANINE FLOOR, AUCKLAND, NEW ZEALAND	-	vedge-cloud-dna	-	NZ	NEW ZEALAND	AUCKLAND	vedge-cloud	-	APH-S S0+ Primary vEdge PAKL836\n Customer EK Emirates Airlines\n Profile GOLD + LBO Zscaler	PAKL836.PAKL837	PAKL836.PAKL837		-	UCPEAKL0003	sdwan_center_vedge	AKL	AKL	PAKL837	primary	2	4096	10240
HAKL0004	HAKL0004	57.214.138.23																							UCPEAKL0004	hypervisor		AKL					
PAKL815	PAKL815	57.205.18.186	PAKL815	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	FI026V5KA7	CI00100904 ~ 53849_NZL_AUCKLAND_00002 ~ ROOM 1F10, 1ST FLOOR, EAST WING, 2022, AUCKLAND, NEW ZEALAND	APH0- CAT1-AKL-PRI-IPVPN-	encs5412/k9	-	NZ	NEW ZEALAND	AUCKLAND	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET AUCKLAND PAKL815 Virtual Machine hosted by ENCS HAKL0004 Cluster with ENCS NFVIS_HOSTNAME Front-End Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PAKL320.PAKL321	PAKL320.PAKL321	PAKL763	-	UCPEAKL0004	router_center_isrv	AKL	AKL	-	backup			
PAKL837	PAKL837	10.247.51.41	PAKL837	O/L	ICN_CPE_ROUTER	387	emirates	emiratesnet_aph	SITA	FI028WJHA2	CI00215091 ~ 387_NZL_AUCKLAND_003 ~ AUCKLAND, AUCKLAND, NEW ZEALAND, AUCKLAND, ROOM GM53,MEZZANINE FLOOR, AUCKLAND, NEW ZEALAND	-	vedge-cloud-dna	-	NZ	NEW ZEALAND	AUCKLAND	vedge-cloud	-	APH-S S0+ Primary vEdge PAKL837\n Customer EK Emirates Airlines\n Profile GOLD + LBO Zscaler	PAKL836.PAKL837	PAKL836.PAKL837		-	UCPEAKL0004	sdwan_center_vedge	AKL	AKL	PAKL836	backup	2	4096	10240
HAMS0001	HAMS0001	57.220.75.166																							UCPEAMS0001	hypervisor		AMS					
PAMS2791	PAMS2791	57.205.148.213	PAMS2791	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	FI0219TSDE	CI00164564 ~ 53849_NLD_AMSTERDAM_00001_MIG_004 ~ TRANSPORTSTRAAT 1118 AP SCHIPHOL, AMSTERDAM INTERNATIONAL AIRPORT, 1118 AP, AMSTERDAM, NETHERLANDS	APHS0+-CAT1-AMS-SEC-IPVPN	encs5412/k9	-	NL	NETHERLANDS	AMSTERDAM	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET SCHIPOL PAMS2791 Virtual Machine hosted by ENCS HAMS0002 Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PAMS2749.PSPL225.PSPL226	PAMS2749.PSPL225.PSPL226		-	UCPEAMS0001	router_center_isrv	AMS	AMS	PAMS2790	backup			
PAMS2929	PAMS2929	10.247.73.108	PAMS2929	O/L	ICN_CPE_ROUTER	85	cathay pacific airways	cxnet	SITA	FI024K5QF0	CI00183729 ~ 43027_NLD_SCHIPHOL_00003 ~ TERMINAL COMPLEX SCHIPHOL AIRPORT (VERTREKPASSAGE), CATHAY PACIFIC AIRPORT OFFICE, SCHIPHOL, NETHERLANDS	AMS-APT-BO-1	vedge-cloud-dna	-	NL	NETHERLANDS	AMSTERDAM	vedgecloud	-	APH-S S0+ Primary vEdge PAMS2929\n Customer CX Cathay Pacific\n Profile GOLD + LBO	PAMS2929.PAMS2930	PAMS2929.PAMS2930		-	UCPEAMS0001	sdwan_center_vedge	AMS	AMS	PAMS2930	primary	2	4096	10240
PAMS2941	PAMS2941	10.247.80.54				166	china airlines ltd.	china_airnet																	UCPEAMS0001	sdwan_center_vedge	AMS	AMS	-	-			
PAMS2997	PAMS2997	10.247.82.133	PAMS2997	O/L	ICN_CPE_ROUTER	113	p.t. garuda indonesia (persero)	ganet	SITA	FI0269T1BF	CI00195623 ~ 113_NLD_AMSTERDAM_002 ~ THE BASE C-TOWER 3RD FLOOR, 1118 CL, AMSTERDAM, NETHERLANDS	AMS_AP1_GA	vedge-cloud-dna	-	NL	NETHERLANDS	AMSTERDAM	vedgecloud	-	 APH-S S0+ Primary vEdge PAMS2997\n Customer GA PT Garuda Indonesia\n Profile GOLD + LBO	PAMS2997.PAMS2998	PAMS2997.PAMS2998		-	UCPEAMS0001	sdwan_center_vedge	AMS	AMS	PAMS2998	primary	2	4096	10240
PSPL704	PSPL704	10.247.71.66	PSPL704	O/L	ICN_CPE_ROUTER	60	singapore airlines ltd.	sqnet	SITA	FI023EXVD3	TERMINAL WEST, AP SCHIPHOL IN DEPARTURE HALL 3 SCHIPHOL CENTRUM VERTREKPASSAGE 1-237	-	vedge-cloud-dna	-	NL	NETHERLANDS	SCHIPHOL	vedge-cloud	-	 APH-S S0+ Primary vEdge PSPL704\n Customer SQ Singapore Airlines\n Profile PLATINIUM + LBO ZSCALER + DBO	PSPL704.PSPL705	PSPL704.PSPL705		-	UCPEAMS0001	sdwan_center_vedge	SPL	AMS	PSPL705	primary	2	4096	10240
HAMS0002	HAMS0002	57.205.148.141																							UCPEAMS0002	hypervisor		AMS					
PAMS2790	PAMS2790	57.220.75.171	PAMS2790	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	FI0219TFCB	CI00164562 ~ 53849_NLD_AMSTERDAM_00001_MIG_003 ~ AMSTERDAM AIRPORT SCHIPHOL (AMS), DEPARTURE HALL 2 (TERMINAL 2), 1118 AP, AMSTERDAM, NETHERLANDS	APHS0+-CAT1-AMS-PRI-IPVPN	encs5412/k9	-	NL	NETHERLANDS	AMSTERDAM	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET SCHIPOL PAMS2790 Virtual Machine hosted by ENCS HAMS0001 Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PAMS2749.PSPL225.PSPL226	PAMS2749.PSPL225.PSPL226		-	UCPEAMS0002	router_center_isrv	AMS	AMS	PAMS2791	primary			
PAMS2930	PAMS2930	10.247.73.109	PAMS2930	O/L	ICN_CPE_ROUTER	85	cathay pacific airways	cxnet	SITA	FI024K5VF7	CI00183729 ~ 43027_NLD_SCHIPHOL_00003 ~ TERMINAL COMPLEX SCHIPHOL AIRPORT (VERTREKPASSAGE), CATHAY PACIFIC AIRPORT OFFICE, SCHIPHOL, NETHERLANDS	AMS-APT-BO-1	vedge-cloud-dna	-	NL	NETHERLANDS	AMSTERDAM	vedgecloud	-	APH-S S0+ Primary vEdge PAMS2930\nCustomer CX Cathay Pacific\nProfile GOLD + LBO	PAMS2929.PAMS2930	PAMS2929.PAMS2930		-	UCPEAMS0002	sdwan_center_vedge	AMS	AMS	PAMS2929	backup	2	4096	10240
PAMS2942	PAMS2942	10.247.80.55				166	china airlines ltd.	china_airnet																	UCPEAMS0002	sdwan_center_vedge	AMS	AMS	PAMS2941	backup			
PAMS2998	PAMS2998	10.247.82.134	PAMS2998	O/L	ICN_CPE_ROUTER	113	p.t. garuda indonesia (persero)	ganet	SITA	FI0269T3BD	CI00195623 ~ 113_NLD_AMSTERDAM_002 ~ THE BASE C-TOWER 3RD FLOOR, 1118 CL, AMSTERDAM, NETHERLANDS	AMS_AP1_GA	vedge-cloud-dna	-	NL	NETHERLANDS	AMSTERDAM	vedgecloud	-	 APH-S S0+ Primary vEdge PAMS2998\n Customer GA P.T. Garuda Indonesia (Persero)\n Profile GOLD + LBO	PAMS2997.PAMS2998	PAMS2997.PAMS2998		-	UCPEAMS0002	sdwan_center_vedge	AMS	AMS	PAMS2997	backup	2	4096	10240
PSPL705	PSPL705	10.247.71.67	PSPL705	O/L	ICN_CPE_ROUTER	60	singapore airlines ltd.	sqnet	SITA	FI023EXZDF	TERMINAL WEST, AP SCHIPHOL IN DEPARTURE HALL 3 SCHIPHOL CENTRUM VERTREKPASSAGE 1-237	-	vedge-cloud-dna	-	NL	NETHERLANDS	SCHIPHOL	vedge-cloud	-	 APH-S S0+ backup vEdge PSPL705\n Customer SQ Singapore Airlines\n Profile PLATINIUM + LBO ZSCALER + DBO	PSPL704.PSPL705	PSPL704.PSPL705		-	UCPEAMS0002	sdwan_center_vedge	SPL	AMS	PSPL704	backup	2	4096	10240
HAMS0007	HAMS0007	57.215.33.194																							UCPEAMS0007	hypervisor		AMS					
PAMS2991	PAMS2991	57.205.244.172	PAMS2991	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	GO0CTE6074	CI00164562 ~ 53849_NLD_AMSTERDAM_00001_MIG_003 ~ AMSTERDAM AIRPORT SCHIPHOL (AMS), DEPARTURE HALL 2 (TERMINAL 2), 1118 AP, AMSTERDAM, NETHERLANDS	-	encs5412/k9	-	NL	NETHERLANDS	AMSTERDAM	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET AMSTERDAM PAMS2991 Virtual Machine hosted by ENCS HAMS0007 Cluster with ENCS NFVIS_HOSTNAME Front-End Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PAMS2749.PSPL225.PSPL226	PAMS2749.PSPL225.PSPL226	PAMS2790	-	UCPEAMS0007	router_center_isrv	AMS	AMS	-	backup			
PAMS3210	PAMS3210	10.71.5.245	PAMS3210	O/L	ICN_CPE_ROUTER	387	emirates	emiratesnet_aph	SITA	FI02905JF2	CI00215833 ~ 387_NLD_SCHIPHOL_001 ~ 211 SCHIPHOL BOULEVARD, TOWER B, WORLD TRADE CENTRE, 1118 BH, SCHIPHOL, NETHERLANDS	-	vedge-cloud-dna	-	NL	NETHERLANDS	AMSTERDAM	vedge-cloud	-	APH-S S0+ Primary vEdge PAMS3210\n Customer EK Emirates Airlines\n Profile GOLD + LBO Zscaler	PAMS3210.PAMS3211	PAMS3210.PAMS3211		-	UCPEAMS0007	sdwan_center_vedge	AMS	AMS	PAMS3211	primary	2	4096	10240
HAMS0008	HAMS0008	57.220.248.102																							UCPEAMS0008	hypervisor		AMS					
PAMS2992	PAMS2992	57.220.248.101	PAMS2992	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	GO0CRVUS7E	CI00164564 ~ 53849_NLD_AMSTERDAM_00001_MIG_004 ~ TRANSPORTSTRAAT 1118 AP SCHIPHOL, AMSTERDAM INTERNATIONAL AIRPORT, 1118 AP, AMSTERDAM, NETHERLANDS	APHS0+-CAT1-AMS-SEC-IPVPN	encs5412/k9	-	NL	NETHERLANDS	AMSTERDAM	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET AMSTERDAM PAMS2992 Virtual Machine hosted by ENCS HAMS0008 Cluster with ENCS NFVIS_HOSTNAME Front-End Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PAMS2749.PSPL225.PSPL226	PAMS2749.PSPL225.PSPL226	PAMS2791	-	UCPEAMS0008	router_center_isrv	AMS	AMS	-	backup			
PAMS3211	PAMS3211	10.71.5.246	PAMS3211	O/L	ICN_CPE_ROUTER	387	emirates	emiratesnet_aph	SITA	FI02905MF5	CI00215833 ~ 387_NLD_SCHIPHOL_001 ~ 211 SCHIPHOL BOULEVARD, TOWER B, WORLD TRADE CENTRE, 1118 BH, SCHIPHOL, NETHERLANDS	-	vedge-cloud-dna	-	NL	NETHERLANDS	AMSTERDAM	vedge-cloud	-	APH-S S0+ Primary vEdge PAMS3211\n Customer EK Emirates Airlines\n Profile GOLD + LBO Zscaler	PAMS3210.PAMS3211	PAMS3210.PAMS3211		-	UCPEAMS0008	sdwan_center_vedge	AMS	AMS	PAMS3210	backup	2	4096	10240
HANC0001	HANC0001	57.214.237.16																							UCPEANC0001	hypervisor		ANC					
PANC100	PANC100	57.214.194.39	PANC100	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	FI021SRZAB	CI00168967 ~ 53849_USA_ANCHORAGE_00001_MIG_004 ~ 5000 WEST INTERNATIONAL AIRPORT ROAD, BUILDING C-CONCOURSE, 99502, ANCHORAGE, UNITED STATES	APHS0+-CAT1-ANC-PRI-IPVPN	encs5412/k9	-	US	UNITED STATES	ANCHORAGE	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET ANCHORAGE PANC100 Virtual Machine hosted by ENCS HANC0001 Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PANC081.PANC082	PANC081.PANC082		-	UCPEANC0001	router_center_isrv	ANC	ANC	PANC101	primary			
